"","Sample_ID","Am","AQY","Rd","Ik","Taxon","Group"
"1","Light_1",33.2531204083411,0.124138383694383,-0.392076904420246,267.871382071536,"Jania","Light"
"2","Light_2",6.48288440203671,0.113757726622265,-0.0741306420140389,56.9885193254898,"Halopteris","Light"
"3","Light_4",30.1255228905968,0.152982833687472,-0.670135949726572,196.920936581291,"Sargassum","Light"
"4","Light_5",23.4097869866794,0.163451737165566,0.0542624463627908,143.221402186547,"Hypnea","Light"
"5","Light_6",8.82654444134221,0.139380135071571,0.136145009320897,63.3271336464828,"Cudiom","Light"
"6","Light_7",47.0819454462712,0.184118291883532,-0.556760029066647,255.715741030522,"Padina","Light"
"7","Light_8",13.8867534826263,0.142197933425134,-0.0297035569271432,97.6579135022202,"Cistosera","Light"
"8","Light_10",7.94846412774733,0.122375654074901,-0.120735060877725,64.9513515399266,"Galaxaura","Light"
"9","Light_11",31.1688074950612,0.139077573032331,0.0540374798749975,224.110953444777,"Dictyota","Light"
"10","Light_12",16.8278798129839,0.122772542052393,-0.135741906425159,137.0654995952,"Colpomenia","Light"
"11","Light_13",17.7312387711855,0.0986143115546302,-0.0853604232877464,179.803909713072,"Ulva","Light"
"12","Dark_1",33.9598582034005,0.207569458343549,-0.344548742966204,163.607201533442,"Colpomenia","Dark"
"13","Dark_2",12.8130742275855,0.307942002541703,0.251554012389022,41.608725415268,"Dictyota","Dark"
"14","Dark_3",5.98163280318466,0.2409982994639,0.0175071210353956,24.820228260908,"Sargassum","Dark"
"15","Dark_4",40.5690075621483,0.215049809647831,0.0866373449118526,188.649353508309,"Padina","Dark"
"16","Dark_5",8.78277547839224,0.0679029168303748,-0.144030563256971,129.343125278876,"Jania","Dark"
"17","Dark_6",8.0714269487166,0.201499718313963,0.0774041065627906,40.0567654200899,"Red UNK","Dark"
"18","Dark_7",17.5998253739184,0.14464227722501,0.23764429676204,121.678292900073,"Ulva","Dark"
"19","Dark_8",16.8546953797643,0.134503884332498,-0.4276662271526,125.31010136554,"Galxaura","Dark"
